不规则动词,平假名,释义,自他性,否定,丁寧,辞書,条件,意向,て,過去,過去否定,被动,使役,可能,命令
理解する,りかいする,to understand,-,理解しない,理解します,理解する,理解すれば,理解しよう,理解して,理解した,理解しなかった,理解される,理解させる,理解できる,理解しろ
離婚する,りこんする,to divorce,-,離婚しない,離婚します,離婚する,離婚すれば,離婚しよう,離婚して,離婚した,離婚しなかった,離婚される,離婚させる,離婚できる,離婚しろ
リタイアする,リタイアする,to retire,-,リタイアしない,リタイアします,リタイアする,リタイアすれば,リタイアしよう,リタイアして,リタイアした,リタイアしなかった,リタイアされる,リタイアさせる,リタイアできる,リタイアしろ
利用する,りようする,to utilize,-,利用しない,利用します,利用する,利用すれば,利用しよう,利用して,利用した,利用しなかった,利用される,利用させる,利用できる,利用しろ
録音する,ろくおんする,to record (on tape),-,録音しない,録音します,録音する,録音すれば,録音しよう,録音して,録音した,録音しなかった,録音される,録音させる,録音できる,録音しろ
旅行する,りょこうする,"to travel, to take a trip",-,旅行しない,旅行します,旅行する,旅行すれば,旅行しよう,旅行して,旅行した,旅行しなかった,旅行される,旅行させる,旅行できる,旅行しろ
料理する,りょうりする,to cook,-,料理しない,料理します,料理する,料理すれば,料理しよう,料理して,料理した,料理しなかった,料理される,料理させる,料理できる,料理しろ
留学する,りゅうがくする,to study abroad,-,留学しない,留学します,留学する,留学すれば,留学しよう,留学して,留学した,留学しなかった,留学される,留学させる,留学できる,留学しろ
流行する,りゅうこうする,"to be in fashion, to be popular",-,流行しない,流行します,流行する,流行すれば,流行しよう,流行して,流行した,流行しなかった,流行される,流行させる,流行できる,流行しろ
裁判する,さいばんする,to try (a case),-,裁判しない,裁判します,裁判する,裁判すれば,裁判しよう,裁判して,裁判した,裁判しなかった,裁判される,裁判させる,裁判できる,裁判しろ
サインする,サインする,to sign,-,サインしない,サインします,サインする,サインすれば,サインしよう,サインして,サインした,サインしなかった,サインされる,サインさせる,サインできる,サインしろ
採用する,さいようする,"to adopt, to employ",-,採用しない,採用します,採用する,採用すれば,採用しよう,採用して,採用した,採用しなかった,採用される,採用させる,採用できる,採用しろ
参加する,さんかする,"to participate, to join",-,参加しない,参加します,参加する,参加すれば,参加しよう,参加して,参加した,参加しなかった,参加される,参加させる,参加できる,参加しろ
散歩する,さんぽする,to take a walk,-,散歩しない,散歩します,散歩する,散歩すれば,散歩しよう,散歩して,散歩した,散歩しなかった,散歩される,散歩させる,散歩できる,散歩しろ
賛成する,さんせいする,"to approve, to agree",-,賛成しない,賛成します,賛成する,賛成すれば,賛成しよう,賛成して,賛成した,賛成しなかった,賛成される,賛成させる,賛成できる,賛成しろ
成長する,せいちょうする,to grow,-,成長しない,成長します,成長する,成長すれば,成長しよう,成長して,成長した,成長しなかった,成長される,成長させる,成長できる,成長しろ
生活する,せいかつする,"to live, to make a living",-,生活しない,生活します,生活する,生活すれば,生活しよう,生活して,生活した,生活しなかった,生活される,生活させる,生活できる,生活しろ
成功する,せいこうする,to succeed,-,成功しない,成功します,成功する,成功すれば,成功しよう,成功して,成功した,成功しなかった,成功される,成功させる,成功できる,成功しろ
整理する,せいりする,to put in order,-,整理しない,整理します,整理する,整理すれば,整理しよう,整理して,整理した,整理しなかった,整理される,整理させる,整理できる,整理しろ
生産する,せいさんする,to produce,-,生産しない,生産します,生産する,生産すれば,生産しよう,生産して,生産した,生産しなかった,生産される,生産させる,生産できる,生産しろ
宣伝する,せんでんする,to advertise,-,宣伝しない,宣伝します,宣伝する,宣伝すれば,宣伝しよう,宣伝して,宣伝した,宣伝しなかった,宣伝される,宣伝させる,宣伝できる,宣伝しろ
選挙する,せんきょする,"to elect, to vote",-,選挙しない,選挙します,選挙する,選挙すれば,選挙しよう,選挙して,選挙した,選挙しなかった,選挙される,選挙させる,選挙できる,選挙しろ
戦争する,せんそうする,"to fight, to make a war",-,戦争しない,戦争します,戦争する,戦争すれば,戦争しよう,戦争して,戦争した,戦争しなかった,戦争される,戦争させる,戦争できる,戦争しろ
洗濯する,せんたくする,to wash (clothes),-,洗濯しない,洗濯します,洗濯する,洗濯すれば,洗濯しよう,洗濯して,洗濯した,洗濯しなかった,洗濯される,洗濯させる,洗濯できる,洗濯しろ
説明する,せつめいする,to explain,-,説明しない,説明します,説明する,説明すれば,説明しよう,説明して,説明した,説明しなかった,説明される,説明させる,説明できる,説明しろ
節約する,せつやくする,"to economize, to save",-,節約しない,節約します,節約する,節約すれば,節約しよう,節約して,節約した,節約しなかった,節約される,節約させる,節約できる,節約しろ
説得する,せっとくする,to persuade,-,説得しない,説得します,説得する,説得すれば,説得しよう,説得して,説得した,説得しなかった,説得される,説得させる,説得できる,説得しろ
世話する,せわする,to take care of,-,世話しない,世話します,世話する,世話すれば,世話しよう,世話して,世話した,世話しなかった,世話される,世話させる,世話できる,世話しろ
死亡する,しぼうする,to die,-,死亡しない,死亡します,死亡する,死亡すれば,死亡しよう,死亡して,死亡した,死亡しなかった,死亡される,死亡させる,死亡できる,死亡しろ
指導する,しどうする,to guide,-,指導しない,指導します,指導する,指導すれば,指導しよう,指導して,指導した,指導しなかった,指導される,指導させる,指導できる,指導しろ
仕事する,しごとする,to work,-,仕事しない,仕事します,仕事する,仕事すれば,仕事しよう,仕事して,仕事した,仕事しなかった,仕事される,仕事させる,仕事できる,仕事しろ
支配する,しはいする,to control,-,支配しない,支配します,支配する,支配すれば,支配しよう,支配して,支配した,支配しなかった,支配される,支配させる,支配できる,支配しろ
指示する,しじする,to instruct,-,指示しない,指示します,指示する,指示すれば,指示しよう,指示して,指示した,指示しなかった,指示される,指示させる,指示できる,指示しろ
支持する,しじする,to support,-,支持しない,支持します,支持する,支持すれば,支持しよう,支持して,支持した,支持しなかった,支持される,支持させる,支持できる,支持しろ
試験する,しけんする,"to examine, to test",-,試験しない,試験します,試験する,試験すれば,試験しよう,試験して,試験した,試験しなかった,試験される,試験させる,試験できる,試験しろ
心配する,しんぱいする,to be worried,-,心配しない,心配します,心配する,心配すれば,心配しよう,心配して,心配した,心配しなかった,心配される,心配させる,心配できる,心配しろ
進歩する,しんぽする,to progress,-,進歩しない,進歩します,進歩する,進歩すれば,進歩しよう,進歩して,進歩した,進歩しなかった,進歩される,進歩させる,進歩できる,進歩しろ
申請する,しんせいする,to apply,-,申請しない,申請します,申請する,申請すれば,申請しよう,申請して,申請した,申請しなかった,申請される,申請させる,申請できる,申請しろ
信用する,しんようする,to trust,-,信用しない,信用します,信用する,信用すれば,信用しよう,信用して,信用した,信用しなかった,信用される,信用させる,信用できる,信用しろ
失敗する,しっぱいする,to fail,-,失敗しない,失敗します,失敗する,失敗すれば,失敗しよう,失敗して,失敗した,失敗しなかった,失敗される,失敗させる,失敗できる,失敗しろ
質問する,しつもんする,to ask a question,-,質問しない,質問します,質問する,質問すれば,質問しよう,質問して,質問した,質問しなかった,質問される,質問させる,質問できる,質問しろ
使用する,しようする,to use,-,使用しない,使用します,使用する,使用すれば,使用しよう,使用して,使用した,使用しなかった,使用される,使用させる,使用できる,使用しろ
消費する,しょうひする,"to spend, to consume",-,消費しない,消費します,消費する,消費すれば,消費しよう,消費して,消費した,消費しなかった,消費される,消費させる,消費できる,消費しろ
紹介する,しょうかする,to introduce,-,紹介しない,紹介します,紹介する,紹介すれば,紹介しよう,紹介して,紹介した,紹介しなかった,紹介される,紹介させる,紹介できる,紹介しろ
食事する,しょくじする,"to eat, to dine",-,食事しない,食事します,食事する,食事すれば,食事しよう,食事して,食事した,食事しなかった,食事される,食事させる,食事できる,食事しろ
署名する,しょめいする,to sign,-,署名しない,署名します,署名する,署名すれば,署名しよう,署名して,署名した,署名しなかった,署名される,署名させる,署名できる,署名しろ
昇進する,しょうしんする,to be promoted,-,昇進しない,昇進します,昇進する,昇進すれば,昇進しよう,昇進して,昇進した,昇進しなかった,昇進される,昇進させる,昇進できる,昇進しろ
招待する,しょうたいする,to invite,-,招待しない,招待します,招待する,招待すれば,招待しよう,招待して,招待した,招待しなかった,招待される,招待させる,招待できる,招待しろ
衝突する,しょうとつする,to collide,-,衝突 しない,衝突します,衝突する,衝突すれば,衝突しよう,衝突して,衝突した,衝突しなかった,衝突される,衝突させる,衝突できる,衝突しろ
所有する,しょゆうする,"to possess, to have",-,所有しない,所有します,所有する,所有すれば,所有しよう,所有して,所有した,所有しなかった,所有される,所有させる,所有できる,所有しろ
所属する,しょぞくする,to belong,-,所属しない,所属します,所属する,所属すれば,所属しよう,所属して,所属した,所属しなかった,所属される,所属させる,所属できる,所属しろ
主張する,しゅちょうする,"to assert, to insist",-,主張しない,主張します,主張する,主張すれば,主張しよう,主張して,主張した,主張しなかった,主張される,主張させる,主張できる,主張しろ
出航する,しゅっこうする,to sail off,-,出航しない,出航します,出航する,出航すれば,出航しよう,出航して,出航した,出航しなかった,出航される,出航させる,出航できる,出航しろ
縮小する,しゅくしょうする,to reduce,-,縮小しない,縮小します,縮小する,縮小すれば,縮小しよう,縮小して,縮小した,縮小しなかった,縮小される,縮小させる,縮小できる,縮小しろ
出版する,しゅっぱんする,to publish,-,出版しない,出版します,出版する,出版すれば,出版しよう,出版して,出版した,出版しなかった,出版される,出版させる,出版できる,出版しろ
出発する,しゅっぱつする,"to depart, to leave",-,出発しない,出発します,出発する,出発すれば,出発しよう,出発して,出発した,出発しなかった,出発される,出発させる,出発できる,出発しろ
修理する,しゅうりする,"to repair, to fix",-,修理しない,修理します,修理する,修理すれば,修理しよう,修理して,修理した,修理しなかった,修理される,修理させる,修理できる,修理しろ
出席する,しゅっせきする,to attend,-,出席しない,出席します,出席する,出席すれば,出席しよう,出席して,出席した,出席しなかった,出席される,出席させる,出席できる,出席しろ
出張する,しゅっちょうする,to go on a business trip,-,出張しない,出張します,出張する,出張すれば,出張しよう,出張して,出張した,出張しなかった,出張される,出張させる,出張できる,出張しろ
相談する,そうだんする,to consult,-,相談しない,相談します,相談する,相談すれば,相談しよう,相談して,相談した,相談しなかった,相談される,相談させる,相談できる,相談しろ
掃除する,そうじする,"to clean, to sweep",-,掃除しない,掃除します,掃除する,掃除すれば,掃除しよう,掃除して,掃除した,掃除しなかった,掃除される,掃除させる,掃除できる,掃除しろ
送金する,そうきんする,to remit money,-,送金しない,送金します,送金する,送金すれば,送金しよう,送金して,送金した,送金しなかった,送金される,送金させる,送金できる,送金しろ
尊敬する,そんけいする,to respect,-,尊敬しない,尊敬します,尊敬する,尊敬すれば,尊敬しよう,尊敬して,尊敬した,尊敬しなかった,尊敬される,尊敬させる,尊敬できる,尊敬しろ
捜査する,そおさする,to investigate,-,捜査しない,捜査します,捜査する,捜査すれば,捜査しよう,捜査して,捜査した,捜査しなかった,捜査される,捜査させる,捜査できる,捜査しろ
組織する,そしきする,to organize,-,組織しない,組織します,組織する,組織すれば,組織しよう,組織して,組織した,組織しなかった,組織される,組織させる,組織できる,組織しろ
卒業する,そつぎょうする,to graduate,-,卒業しない,卒業します,卒業する,卒業すれば,卒業しよう,卒業して,卒業した,卒業しなかった,卒業される,卒業させる,卒業できる,卒業しろ
推薦する,すいせんする,to recommend,-,推薦しない,推薦します,推薦する,推薦すれば,推薦しよう,推薦して,推薦した,推薦しなかった,推薦される,推薦させる,推薦できる,推薦しろ
スライドする,スライドする,to slide,-,スライドしない,スライドします,スライドする,スライドすれば,スライドしよう,スライドして,スライドした,スライドしなかった,スライドされる,スライドさせる,スライドできる,スライドしろ
スリップする,スリップする,to slip,-,スリップしない,スリップします,スリップする,スリップすれば,スリップしよう,スリップして,スリップした,スリップしなかった,スリップされる,スリップさせる,スリップできる,スリップしろ
スタートする,スタートする,to start,-,スタートしない,スタートします,スタートする,スタートすれば,スタートしよう,スタートして,スタートした,スタートしなかった,スタートされる,スタートさせる,スタートできる,スタートしろ
ストップする,ストップする,to stop,-,ストップしない,ストップします,ストップする,ストップすれば,ストップしよう,ストップして,ストップした,ストップしなかった,ストップされる,ストップさせる,ストップできる,ストップしろ
逮捕する,たいほする,to arrest,-,逮捕しない,逮捕します,逮捕する,逮捕すれば,逮捕しよう,逮捕して,逮捕した,逮捕しなかった,逮捕される,逮捕させる,逮捕できる,逮捕しろ
退院する,たいいんする,to get out of a hospital,-,退院しない,退院します,退院する,退院すれば,退院しよう,退院して,退院した,退院しなかった,退院される,退院させる,退院できる,退院しろ
担当する,たんとうする,to take charge,-,担当しない,担当します,担当する,担当すれば,担当しよう,担当して,担当した,担当しなかった,担当される,担当させる,担当できる,担当しろ
タッチする,タッチする,to touch,-,タッチしない,タッチします,タッチする,タッチすれば,タッチしよう,タッチして,タッチした,タッチしなかった,タッチされる,タッチさせる,タッチできる,タッチしろ
提案する,ていあんする,to propose,-,提案しない,提案します,提案する,提案すれば,提案しよう,提案して,提案した,提案しなかった,提案される,提案させる,提案できる,提案しろ
提供する,ていきょうする,to offer,-,提供しない,提供します,提供する,提供すれば,提供しよう,提供して,提供した,提供しなかった,提供される,提供させる,提供できる,提供しろ
提出する,ていしゅつする,to submit,-,提出しない,提出します,提出する,提出すれば,提出しよう,提出して,提出した,提出しなかった,提出される,提出させる,提出できる,提出しろ
転勤する,てんきする,to be transferred (to another office),-,転勤しない,転勤します,転勤する,転勤すれば,転勤しよう,転勤して,転勤した,転勤しなかった,転勤される,転勤させる,転勤できる,転勤しろ
テストする,テストする,to test,-,テストしない,テストします,テストする,テストすれば,テストしよう,テストして,テストした,テストしなかった,テストされる,テストさせる,テストできる,テストしろ
徹夜する,てつやする,to stay up all night,-,徹夜しない,徹夜します,徹夜する,徹夜すれば,徹夜しよう,徹夜して,徹夜した,徹夜しなかった,徹夜される,徹夜させる,徹夜できる,徹夜しろ
到着する,とうちゃくする,to arrive,-,到着しない,到着します,到着する,到着すれば,到着しよう,到着して,到着した,到着しなかった,到着される,到着させる,到着できる,到着しろ
投票する,とうひょうする,to vote,-,投票しない,投票します,投票する,投票すれば,投票しよう,投票して,投票した,投票しなかった,投票される,投票させる,投票できる,投票しろ
統一する,とういつする,to unify,-,統一しない,統一します,統一する,統一すれば,統一しよう,統一して,統一した,統一しなかった,統一される,統一させる,統一できる,統一しろ
登録する,とうろくする,to register,-,登録しない,登録します,登録する,登録すれば,登録しよう,登録して,登録した,登録しなかった,登録される,登録させる,登録できる,登録しろ
倒産する,とうさんする,to go bankrupt,-,倒産しない,倒産します,倒産する,倒産すれば,倒産しよう,倒産して,倒産した,倒産しなかった,倒産される,倒産させる,倒産できる,倒産しろ
当選する,とうせんする,to be elected,-,当選しない,当選します,当選する,当選すれば,当選しよう,当選して,当選した,当選しなかった,当選される,当選させる,当選できる,当選しろ
投資する,とうしする,to invest,-,投資しない,投資します,投資する,投資すれば,投資しよう,投資して,投資した,投資しなかった,投資される,投資させる,投資できる,投資しろ
追加する,ついかする,to add,-,追加しない,追加します,追加する,追加すれば,追加しよう,追加して,追加した,追加しなかった,追加される,追加させる,追加できる,追加しろ
追求する,ついきゅうする,to pursue,-,追求しない,追求します,追求する,追求すれば,追求しよう,追求して,追求した,追求しなかった,追求される,追求させる,追求できる,追求しろ
墜落する,ついらくする,"to fall, to crash",-,墜落しない,墜落します,墜落する,墜落すれば,墜落しよう,墜落して,墜落した,墜落しなかった,墜落される,墜落させる,墜落できる,墜落しろ
通過する,つうかする,to pass,-,通過しない,通過します,通過する,通過すれば,通過しよう,通過して,通過した,通過しなかった,通過される,通過させる,通過できる,通過しろ
通勤する,つうきんする,to commute (to work),-,通勤しない,通勤します,通勤する,通勤すれば,通勤しよう,通勤して,通勤した,通勤しなかった,通勤される,通勤させる,通勤できる,通勤しろ
通信する,つうしんする,"to correspond, to communicate",-,通信しない,通信します,通信する,通信すれば,通信しよう,通信して,通信した,通信しなかった,通信される,通信させる,通信できる,通信しろ
運動する,うんどうする,to exercise,-,運動しない,運動します,運動する,運動すれば,運動しよう,運動して,運動した,運動しなかった,運動される,運動させる,運動できる,運動しろ
運送する,うんそうする,to transport,-,運送しない,運送します,運送する,運送すれば,運送しよう,運送して,運送した,運送しなかった,運送される,運送させる,運送できる,運送しろ
運転する,うんてんする,to drive (a car),-,運転しない,運転します,運転する,運転すれば,運転しよう,運転して,運転した,運転しなかった,運転される,運転させる,運転できる,運転しろ
約束する,やくそくする,to promise,-,約束しない,約束します,約束する,約束すれば,約束しよう,約束して,約束した,約束しなかった,約束される,約束させる,約束できる,約束しろ
要求する,ようきゅうする,to demand,-,要求しない,要求します,要求する,要求すれば,要求しよう,要求して,要求した,要求しなかった,要求される,要求させる,要求できる,要求しろ
予習する,よしゅうする,to prepare one's lessons,-,予習しない,予習します,予習する,予習すれば,予習しよう,予習して,予習した,予習しなかった,予習される,予習させる,予習できる,予習しろ
予想する,よそうする,"to expect, to forecast",-,予想しない,予想します,予想する,予想すれば,予想しよう,予想して,予想した,予想しなかった,予想される,予想させる,予想できる,予想しろ
予約する,よやくする,to reserve,-,予約しない,予約します,予約する,予約すれば,予約しよう,予約して,予約した,予約しなかった,予約される,予約させる,予約できる,予約しろ
誘拐する,ゆうかいする,"to abduct, to kidnap",-,誘拐しない,誘拐します,誘拐する,誘拐すれば,誘拐しよう,誘拐して,誘拐した,誘拐しなかった,誘拐される,誘拐させる,誘拐できる,誘拐しろ
輸入する,ゆにゅうする,to import,-,輸入しない,輸入します,輸入する,輸入すれば,輸入しよう,輸入して,輸入した,輸入しなかった,輸入される,輸入させる,輸入できる,輸入しろ
優勝する,ゆうしょうする,to win a championship,-,優勝しない,優勝します,優勝する,優勝すれば,優勝しよう,優勝して,優勝した,優勝しなかった,優勝される,優勝させる,優勝できる,優勝しろ
輸出する,ゆしゅつする,to export,-,輸出しない,輸出します,輸出する,輸出すれば,輸出しよう,輸出して,輸出した,輸出しなかった,輸出される,輸出させる,輸出できる,輸出しろ
郵送する,ゆうそうする,to mail,-,郵送しない,郵送します,郵送する,郵送すれば,郵送しよう,郵送して,郵送した,郵送しなかった,郵送される,郵送させる,郵送できる,郵送しろ
残業する,ざんぎょうする,to work overtime,-,残業しない,残業します,残業する,残業すれば,残業しよう,残業して,残業した,残業しなかった,残業される,残業させる,残業できる,残業しろ
増加する,ぞうかする,to increase,-,増加しない,増加します,増加する,増加すれば,増加しよう,増加して,増加した,増加しなかった,増加される,増加させる,増加できる,増加しろ
